GenerationUnitCode;GenerationUnitName;GenerationUnitType;GenerationUnitInstalledCapacity(MW);AreaCode;AreaDisplayName;AreaTypeCode;MapCode;ResolutionCode
22W20161115----Z;Nobelwind Offshore Windpark;Wind Offshore;165.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22W20180615----H;Rentel Offshore WP;Wind Offshore;308.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22W201806282---2;EDF Luminus Seraing GT1;Fossil Gas;150.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22W201806283---Y;EDF Luminus Seraing GT2;Fossil Gas;150.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22W201806284---T;SERAING TV;Fossil Gas;170.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22W20181005GU--R;VILVOORDE GT;Fossil Gas;264.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22W20181015PU--J;VILVOORDE GT;Fossil Gas;255.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22W201902132---O;Norther Offshore WP;Wind Offshore;370.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22W201902151---T;Norther Offshore WP;Wind Offshore;369.6;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22W201909151---M;Northwester 2;Wind Offshore;219.1;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22W20200608B---3;Mermaid Offshore WP;Wind Offshore;237.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22W20200608D---U;Seastar Offshore WP;Wind Offshore;252.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22W20220118GU--F;VILVOORDE ST;Fossil Gas;121.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22W20220519----1;Flemalle CCGT;Fossil Gas;890.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22W202312041---X;Vilvoorde BESS 1;Energy storage;100.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22W202312043---N;Vilvoorde BESS 2;Energy storage;100.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22WAMERCO000008L;Amercoeur 1 R GT;Fossil Gas;289.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22WAMERCO000009J;Amercoeur 1 R ST;Fossil Gas;162.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22WBELWIN1500271;Belwind Phase 1;Wind Offshore;171.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22WCOOX1X0000481;COO 1 T;Hydro Pumped Storage;158.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22WCOOX2X0000521;COO 2 T;Hydro Pumped Storage;158.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22WCOOX3X000055N;COO 3 T;Hydro Pumped Storage;158.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
22WCOOX4X0000588;COO 4 T;Hydro Pumped Storage;230.0;10YBE----------2;Belgium (BE);BZN/CTA;BE;PT60M
