STN,WSI,STARTT,STOPT,LOCATIE,TYPE,HOOGTE,POS_X,POS_Y,POS_NB,POS_OL
201,0-20000-0-06201,2009-02-10,9999-12-31,D15-FA-1,Platform,42.7,-4.51,707.29,54.3256,2.9358
203,0-20000-0-06203,1990-01-01,9999-12-31,P11-B,Platform,41.84,15.67,487.76,52.3600,3.3417
204,0-20000-0-06204,1976-12-25,9999-12-31,K14-FA-1C,Platform,41.8,37.62,588.42,53.2694,3.6278
205,0-20000-0-06205,2009-02-10,9999-12-31,A12-CPP,Platform,48.35,55.02,825.23,55.3992,3.8103
206,0-20000-0-06206,1979-12-25,2020-09-01,F16-A,Platform/AWS,43.4,65.07,682.16,54.1167,4.0122
207,0-20000-0-06207,2006-11-27,9999-12-31,L9-FF-1,Platform,45.31,126.74,625.47,53.6144,4.9603
208,0-20000-0-06208,1946-05-31,9999-12-31,AWG-1,Platform,40.5,191.80,611.86,53.4917,5.9417
209,0-20000-0-06209,2001-01-29,9999-12-31,IJmond,Wind station,0.0,95.90,497.67,52.4636,4.5175
210,0-20000-0-06210,1951-01-01,2016-05-03,VALKENBURG VK,AWS/Aerodrome,-0.2,89.48,465.11,52.1703,4.4294
211,0-20000-0-06211,2009-03-16,9999-12-31,J6-A,Platform,45.7,-5.80,651.47,53.8242,2.9453
212,0-20000-0-06212,1990-01-01,2022-12-02,Hoorn-A,Platform/AWS,50.9,71.81,548.60,52.9181,4.1503
213,0-528-0-06213,2024-04-30,9999-12-31,Hollandse Kust Noord,Platform,39.66,81.06,523.93,52.6978,4.2933
214,0-20000-0-06214,2016-03-01,9999-12-31,Buitengaats BG-OHVS2,Platform,43.56,197.89,672.61,54.0369,6.0417
215,0-20000-0-06215,2014-07-15,9999-12-31,Voorschoten,Fog station/Meteo site,-1.15,89.91,461.71,52.1397,4.4364
216,0-528-0-06216,2024-04-30,9999-12-31,Hollandse Kust Zuid Alpha,Platform,44.0,63.30,482.13,52.3194,4.0422
218,0-528-0-06218,2024-04-30,9999-12-31,Hollandse Kust West Alpha,Platform,40.77,47.97,522.54,52.6797,3.8044
225,0-20000-0-06225,2001-01-29,9999-12-31,IJmuiden,Wind station,4.4,98.44,497.49,52.4622,4.5550
229,0-20000-0-06229,1968-01-01,9999-12-31,Texelhors,Wind station,1.0,110.20,556.65,52.9950,4.7200
233,0-528-0-06233,2009-07-08,9999-12-31,Assendelft,Fog station,-1.6,110.07,499.56,52.4819,4.7258
235,0-20000-0-06235,1955-12-25,9999-12-31,De Kooy Airport,Aerodrome,0.57,114.24,549.05,52.9269,4.7811
